cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_29,cometbus_4_8107_box_4_29.jpg,Pulp Circa 1990 1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; pulp,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-29,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_30,cometbus_4_8107_box_4_30.jpg,Pulp Circa 1990 1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; pulp,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-30,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_punk_in_my_vitamins_1992_aug1993_4_5_43,cometbus_4_8107_box_4_43.jpg,Punk In My Vitamins 1992 Aug1993,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1993-08,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder punk_in_my_vitamins_1992_aug1993_4_5).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; punk in my vitamins aug,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-43,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_ramen_city_usa_circa1994_1998_4_11_57,cometbus_4_8107_box_4_57.jpg,Ramen City USA Circa 1994 1998,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1994-1998,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder ramen_city_usa_circa1994_1998_4_11).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; ramen ity usa,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-57,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_ratlanta_dec_1985_4_12_69,cometbus_4_8107_box_4_69.jpg,Ratlanta Dec. 1985,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1985-12,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder ratlanta_dec_1985_4_12).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; ratlanta de,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-69,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_ratlanta_dec_1985_4_12_70,cometbus_4_8107_box_4_70.jpg,Ratlanta Dec. 1985,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1985-12,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder ratlanta_dec_1985_4_12).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; ratlanta de,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-70,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_real_fun_1984_4_13_74,cometbus_4_8107_box_4_74.jpg,Real Fun 1984,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1984,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder real_fun_1984_4_13).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; real fun,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-74,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_real_fun_1984_4_13_79,cometbus_4_8107_box_4_79.jpg,Real Fun 1984,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1984,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder real_fun_1984_4_13).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; real fun,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-79,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_real_fun_1984_4_13_80,cometbus_4_8107_box_4_80.jpg,Real Fun 1984,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1984,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder real_fun_1984_4_13).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; real fun,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-80,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_real_fun_1984_4_13_81,cometbus_4_8107_box_4_81.jpg,Real Fun 1984,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1984,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder real_fun_1984_4_13).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; real fun,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-81,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_reality_control_c1990_febmarch1992_4_14_87,cometbus_4_8107_box_4_87.jpg,Reality Control c.1990 Febmarch1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1992-03,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder reality_control_c1990_febmarch1992_4_14).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; reality ontrol febmarh,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-87,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_roessiger_c1991_4_18_92,cometbus_4_8107_box_4_92.jpg,Roessiger c.1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder roessiger_c1991_4_18).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; roessiger,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-92,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_roessiger_c1991_4_18_93,cometbus_4_8107_box_4_93.jpg,Roessiger c.1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder roessiger_c1991_4_18).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; roessiger,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-93,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_saprophile_aug1992_mar193_4_22_107,cometbus_4_8107_box_4_107.jpg,Saprophile Aug1992 Mar193,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1992-08,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder saprophile_aug1992_mar193_4_22).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; saprophile aug mar193,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-107,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_saprophile_aug1992_mar193_4_22_108,cometbus_4_8107_box_4_108.jpg,Saprophile Aug1992 Mar193,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1992-08,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder saprophile_aug1992_mar193_4_22).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; saprophile aug mar193,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-108,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_saprophile_aug1992_mar193_4_22_109,cometbus_4_8107_box_4_109.jpg,Saprophile Aug1992 Mar193,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1992-08,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder saprophile_aug1992_mar193_4_22).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; saprophile aug mar193,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-109,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_saprophile_aug1992_mar193_4_22_116,cometbus_4_8107_box_4_116.jpg,Saprophile Aug1992 Mar193,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1992-08,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder saprophile_aug1992_mar193_4_22).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; saprophile aug mar193,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-116,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_saprophile_aug1992_mar193_4_22_117,cometbus_4_8107_box_4_117.jpg,Saprophile Aug1992 Mar193,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1992-08,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder saprophile_aug1992_mar193_4_22).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; saprophile aug mar193,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-117,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_saprophile_aug1992_mar193_4_22_118,cometbus_4_8107_box_4_118.jpg,Saprophile Aug1992 Mar193,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1992-08,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder saprophile_aug1992_mar193_4_22).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; saprophile aug mar193,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-118,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_saprophile_aug1992_mar193_4_22_119,cometbus_4_8107_box_4_119.jpg,Saprophile Aug1992 Mar193,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1992-08,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder saprophile_aug1992_mar193_4_22).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; saprophile aug mar193,"San Francisco, California",37.7749,-122.4194,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-119,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
